log2Fold,Pvalue,Symbol
8.672425342,2.41E-75,ATP5MF-PTCD1
7.942514505,4.78E-09,NME1-NME2
7.721099189,1.07E-14,TBC1D3I
6.22881869,3.29E-13,GOLGA8R
5.882643049,8.91E-06,C7orf55-LUC7L2
5.727920455,1.14E-06,FAM231D
5.321928095,1.56E-10,PALM2-AKAP2
5.285402219,8.91E-06,GOLGA6L6
5.285402219,1.56E-10,RGPD6
4.807354922,1.77E-05,GOLGA8K
4.807354922,1.77E-05,LRRC37A
4.080373416,7.24E-09,URGCP-MRPS24
4,0.00016647,PTGS2
3.882643049,3.50E-05,FAM72B
3.46287892,3.68E-24,LTB
3.377438246,3.45E-19,MT2A
3.367975462,4.94E-21,CXCL5
3.115477217,7.79E-05,ETV1
3,6.63E-11,CXCL6
2.974004791,1.39E-06,ATP10A
2.86941589,3.33E-07,CER1
2.807354922,5.91E-05,NEURL1B
2.756610123,2.47E-06,ASDURF
2.740191898,1.51E-37,CXCL8
2.642812329,0,SERPINE1
2.599037686,1.67E-07,C6orf222
2.515357033,2.78E-05,EAF2
2.475980264,1.10E-20,CXCL1
2.395301281,5.52E-07,BEX5
2.298966946,2.39E-09,TVP23C-CDRT4
2.178425479,4.70E-159,IGFBP1
2.169925001,5.98E-07,TESC
2.153145925,7.57E-148,NNMT
2.135655099,5.68E-08,USE1
2.070300795,3.63E-60,ACTA1
1.967795649,8.36E-27,AREG
1.909767356,8.57E-08,S100P
1.887595694,2.92E-163,INHBE
1.873323212,1.71E-37,ATF3
1.871013559,4.16E-06,FAM43A
1.850923806,6.15E-133,UBD
1.83683936,1.12E-47,IER3
1.827595714,1.86E-16,MYC
1.818882356,4.94E-56,RND1
1.817135943,9.39E-06,CRP
1.799196399,7.36E-05,TNNC1
1.780532717,1.16E-49,CCL20
1.771789562,1.90E-10,CHAC1
1.749534268,0.000150194,SHH
1.707938583,5.75E-93,DDIT4
1.699402181,3.76E-14,TNFAIP8L2-SCNM1
1.657287339,2.58E-06,PLA2G2A
1.653801377,8.08E-33,TNFAIP2
1.615659298,1.11E-07,OLR1
1.614108846,2.01E-11,ALDH1L2
1.59917636,3.54E-06,MRM1
1.593923368,2.81E-06,CCDC151
1.591816172,3.86E-07,JRKL
1.586938119,3.85E-96,TAGLN
1.552541023,1.51E-13,SIK1B
1.547809502,2.34E-11,RASD1
1.546031508,6.93E-38,BGN
1.545968369,9.37E-12,CPN1
1.53951953,3.54E-06,PPCDC
1.511739728,3.61E-49,IFITM2
1.497711307,1.95E-06,CNN1
1.476239501,7.14E-90,TM4SF1
1.473750275,2.99E-179,NPPB
1.472262368,8.51E-17,SLC34A2
1.468597744,0.000134523,MYL7
1.465663572,3.00E-08,DNAH5
1.462339242,9.44E-120,ANKRD1
1.446586335,7.18E-66,LOXL4
1.446107506,0.000117264,TFF1
1.437989082,3.67E-207,IL32
1.427241639,2.70E-15,TYMP
1.415563167,1.57E-08,FUOM
1.398438327,1.23E-17,TNFAIP8
1.395734492,8.15E-27,ASNS
1.384096256,3.38E-36,ICAM1
1.38310701,4.89E-12,IER5L
1.362964205,1.01E-295,CP
1.354268062,6.64E-44,HILPDA
1.345219488,1.87E-235,IFITM3
1.34013269,2.50E-19,ANGPTL4
1.338801913,2.22E-09,METTL1
1.329811694,2.15E-05,VNN3
1.318126525,2.49E-40,NEDD9
1.295539731,1.45E-71,JUNB
1.295455884,1.56E-08,FBXL16
1.288569498,2.28E-05,PDGFRL
1.286109433,3.78E-36,CBSL
1.281975969,1.58E-10,KCNK6
1.280107919,3.82E-05,PMAIP1
1.264363971,1.50E-101,CYR61
1.26227329,4.39E-17,NUAK2
